,fd,fs,pmp
571,0.25,0.66,0.2738508338889716
572,0.25,0.67,0.27123864070521037
573,0.25,0.68,0.2710797015127102
574,0.25,0.6900000000000001,0.27089654585905787
575,0.25,0.7000000000000001,0.2706803197211196
576,0.25,0.71,0.27041675243290264
577,0.25,0.72,0.27007866634879557
578,0.25,0.73,0.2696071102946423
579,0.25,0.74,0.2688217011916354
580,0.25,0.75,0.26597739342536814
581,0.25,0.76,0.26582599477243607
582,0.25,0.77,0.26565270591042583
583,0.25,0.78,0.26545003422604363
584,0.25,0.79,0.26520600711107195
585,0.25,0.8,0.26489933185955417
586,0.25,0.81,0.2644863132035802
587,0.25,0.8200000000000001,0.26385757942412186
588,0.25,0.8300000000000001,0.2624520011655719
589,0.25,0.84,0.26075265432322287
590,0.25,0.85,0.2605891819738753
591,0.25,0.86,0.26039969553577
592,0.25,0.87,0.26017417590280356
593,0.25,0.88,0.2598956135288809
594,0.25,0.89,0.2595311112998478
595,0.25,0.9,0.2590027771242551
596,0.25,0.91,0.2580294688968506
597,0.25,0.92,0.2558336275929743
598,0.25,0.93,0.25567887886701457
599,0.25,0.9400000000000001,0.2554983096314317
600,0.25,0.9500000000000001,0.25529120554272894
601,0.25,0.96,0.25503541957054504
602,0.25,0.97,0.2547056714731667
603,0.25,0.98,0.25425105825144617
604,0.25,0.99,0.25350283435569165
605,0.25,1.0,0.25105674169538383
606,0.30000000000000004,0.0,1.0
607,0.30000000000000004,0.01,0.9823586211562905
608,0.30000000000000004,0.02,0.9304634128761684
609,0.30000000000000004,0.03,0.8602926568218681
610,0.30000000000000004,0.04,0.7805771069602951
611,0.30000000000000004,0.05,0.6945490328394964
612,0.30000000000000004,0.06,0.6036995930970217
613,0.30000000000000004,0.07,0.5088312138639091
614,0.30000000000000004,0.08,0.41062065361683514
615,0.30000000000000004,0.09,0.377031848551259
616,0.30000000000000004,0.1,0.3768223272696134
617,0.30000000000000004,0.11,0.3765786420434708
618,0.30000000000000004,0.12,0.3762873200606189
619,0.30000000000000004,0.13,0.3759252917144563
620,0.30000000000000004,0.14,0.3754468118447567
621,0.30000000000000004,0.15,0.3747395008717431
622,0.30000000000000004,0.16,0.37335606381309305
623,0.30000000000000004,0.17,0.36786802919452577
624,0.30000000000000004,0.18,0.36766982761003386
625,0.30000000000000004,0.19,0.3674411726202533
626,0.30000000000000004,0.2,0.3671707646414728
627,0.30000000000000004,0.21,0.3668399381334613
